gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,4,4608,6144,ck,8,3,11.9259,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,18.99,2379.11,0.0001
gfx950,256,4,6144,256,ck,8,0,2.8986,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.34,559.94,0.0
gfx950,256,4,6144,2304,ck,8,0,8.2918,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,13.66,1714.24,0.0
gfx950,256,4,6144,4096,ck,6,3,9.1482,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,22.01,2758.07,0.0
gfx950,256,4,6144,4608,ck,6,2,13.0003,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,17.42,2182.96,0.0
gfx950,256,4,9216,6144,ck,8,3,16.6678,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,27.18,3403.05,0.0001
gfx950,256,8,512,6144,ck,8,3,4.8608,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,10.35,658.96,0.0
gfx950,256,8,576,6144,ck,8,3,4.8961,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,11.56,734.73,0.0002
gfx950,256,8,1024,6144,ck,8,3,5.1736,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,19.46,1228.74,0.0002
gfx950,256,8,2048,6144,ck,7,3,8.8244,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,22.81,1435.21,0.0005
gfx950,256,8,3584,512,ck,8,0,3.3815,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,8.68,560.83,0.0
gfx950,256,8,4608,6144,ck,6,3,12.1337,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,37.33,2343.43,0.0001
gfx950,256,8,6144,256,ck,6,0,3.0008,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,8.39,557.59,0.0
gfx950,256,8,6144,2304,ck,8,0,8.2986,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,27.29,1719.87,0.0
gfx950,256,8,6144,4096,ck,6,3,9.1019,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,44.24,2779.3,0.0
