M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
1655,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1659,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1660,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1661,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1662,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1669,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1681,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1684,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1698,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1700,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1703,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1705,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1709,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1710,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1717,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1722,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1724,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1729,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1732,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1733,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1734,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1737,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1744,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1756,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1760,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1761,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1765,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1774,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1776,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1777,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1781,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1783,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1785,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1786,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1789,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1795,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1796,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1801,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1813,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1817,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1818,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1820,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1821,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1824,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1829,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1833,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1834,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1837,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1842,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1844,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1847,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1848,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1854,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1855,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1861,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1865,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1869,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1870,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1871,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1878,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1880,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1882,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1886,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1893,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1896,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1897,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1904,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1907,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1915,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1916,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1928,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1929,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1931,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1933,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1937,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1942,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1953,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1955,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1958,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1959,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1970,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1971,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1974,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1977,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1978,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1983,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1985,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1995,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1998,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1999,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2000,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2004,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2011,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2013,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2014,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2025,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2026,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2035,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
